DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            53.025              52.779             0.246         3.914
RESSURF           15.778              14.871             0.907         6.331
SOLIN            413.168             413.168             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.576              -0.569            -0.006         0.702
CLDHGH            38.037              37.778             0.259         2.721
CLDLOW            27.384              27.452            -0.068         2.017
CLDMED            17.430              17.400             0.030         2.350
CLDTOT            52.900              52.922            -0.022         2.339
EKE_850           11.689              11.078             0.611         1.628
EP            -9.033e-02          -9.135e-02         1.023e-03         0.809
FLNS              56.136              53.734             2.401         3.422
FLNSC             72.645              68.964             3.682         4.397
FLNT             240.685             243.853            -3.168         5.130
FLNTC            280.629             283.722            -3.093         3.416
FSDS             217.710             218.987            -1.277         5.507
FSDSC            293.199             295.267            -2.068         2.278
FSNS             201.908             203.076            -1.168         5.117
FSNSC            272.920             274.874            -1.954         2.138
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       246.385             248.083            -1.698         2.200
FSNT             293.710             296.631            -2.922         5.433
FSNTC            361.430             365.665            -4.235         4.286
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            113.494             118.119            -4.625         8.650
LWCF              39.944              39.869             0.075         2.975
PRECT              4.023               4.184            -0.161         0.761
PRECT_LAND         4.371               4.430            -0.059         0.639
PRECT_OCEAN        3.907               4.100            -0.192         0.796
PREH2O            38.967              42.928            -3.961         4.440
PREH2O_OCEAN      40.893              45.194            -4.300         4.692
PSI_200            1.457               1.547            -0.090         0.173
PS               994.750             994.969            -0.219         0.430
PSL             1009.494            1009.688            -0.194         0.400
QFLX               3.933               4.093            -0.160         0.244
SHFLX             16.500              16.352             0.148         2.450
SNOWHLND           0.000               0.000             0.000         0.005
SST               26.672              27.871            -1.199         1.221
STRESS_MAG         0.058               0.057             0.001         0.007
SWCF             -67.720             -69.034             1.313         4.949
T_850            289.243             290.585            -1.341         1.357
TGCLDLWP         136.979             139.783            -2.804        15.160
TGCLDIWP          12.776              12.185             0.591         1.630
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.103             299.377            -1.274         1.293
TS               299.059             300.299            -1.240         1.264
TS_LAND          296.455             297.835            -1.381         1.405
U_200              4.184               3.676             0.508         1.379
VT_850            -2.140              -2.219             0.079         0.746
Z3_500            58.290              58.632            -0.341         0.342
